X,Y,Z,Trace,GradX,GradY,GradZ
5.00E-05,0,5.00E-05,-444.517689,-0.015365331,-0.903941328,-0.427380371
5.00E-05,0,0.0001,-431.1209471,-0.008341049,-0.999330169,0.035632003
5.00E-05,0,0.00015,-412.09559,-0.018684297,-0.999460977,0.026993576
5.00E-05,0,0.0002,-406.4294627,-0.027750673,-0.999098306,0.032132138
5.00E-05,0,0.00025,-384.2453075,-0.034063068,-0.998547754,0.041738346
5.00E-05,0,0.0003,-372.4317384,-0.017239701,-0.999104187,0.038647338
5.00E-05,0,0.00035,-353.3622195,0.013261666,-0.998956672,0.043700071
5.00E-05,0,0.0004,-339.0228178,0.038533175,-0.998083802,0.048414036
5.00E-05,0,0.00045,-318.8283039,0.05282638,-0.996519702,0.064481442
5.00E-05,0,0.0005,-296.0035442,0.072420527,-0.994010982,0.081837861
5.00E-05,0,0.00055,-268.0614983,0.094050061,-0.991976857,0.084477813
5.00E-05,0,0.0006,-246.9497825,0.125189937,-0.991412435,0.037800299
5.00E-05,0,0.00065,-247.7616366,0.089126116,-0.995739638,0.023645484
5.00E-05,0,0.0007,-234.8140781,0.158134019,-0.982444928,0.098972701
5.00E-05,0,0.00075,-201.7417624,0.173747684,-0.968306586,0.179427136
5.00E-05,0,0.0008,-157.0718845,0.190453661,-0.953104106,0.235201971
5.00E-05,0,0.00085,-106.6001769,0.219425523,-0.927591071,0.302369386
5.00E-05,0,0.0009,-47.15131815,0.258737079,-0.889625764,0.376325821
5.00E-05,0,0.00095,16.48500765,0.240495263,-0.498667587,-0.832762071
5.00E-05,5.00E-05,5.00E-05,-454.7382463,-0.084955738,-0.008958796,-0.99634445
5.00E-05,5.00E-05,0.0001,-432.8782042,-0.400432504,-0.080063212,0.912821829
5.00E-05,5.00E-05,0.00015,-409.7512568,-0.728579897,-0.01667772,0.684757758
5.00E-05,5.00E-05,0.0002,-389.9712394,-0.786295797,0.194515167,0.586432237
5.00E-05,5.00E-05,0.00025,-365.8549601,-0.987249149,0.091800991,0.130044977
5.00E-05,5.00E-05,0.0003,-379.3611768,-0.987052326,0.124682365,-0.100905966
5.00E-05,5.00E-05,0.00035,-373.1675801,-0.821256515,0.419067538,0.387195216
5.00E-05,5.00E-05,0.0004,-349.8804764,-0.428951886,0.538177984,0.725509984
5.00E-05,5.00E-05,0.00045,-331.2623028,-0.09903618,0.416062555,0.90392687
5.00E-05,5.00E-05,0.0005,-311.5288066,0.701798063,0.238478157,0.671273155
5.00E-05,5.00E-05,0.00055,-291.0391128,0.546993086,0.156449198,0.822388116
5.00E-05,5.00E-05,0.0006,-248.2474288,0.744185958,0.114353043,0.658111421
5.00E-05,5.00E-05,0.00065,-242.9528511,0.771481882,0.511542821,0.378338008
5.00E-05,5.00E-05,0.0007,-214.8989855,0.772728299,0.40930455,0.485139941
5.00E-05,5.00E-05,0.00075,-178.4165541,0.728178425,0.284218332,0.623679501
5.00E-05,5.00E-05,0.0008,-128.781478,0.541844323,0.386683913,0.746244116
5.00E-05,5.00E-05,0.00085,-73.96123757,0.70086475,0.351683733,0.620570023
5.00E-05,5.00E-05,0.0009,-17.91449954,0.699315694,0.27599899,0.659380101
5.00E-05,5.00E-05,0.00095,40.71932501,0.343542266,0.066839489,-0.936755675
5.00E-05,0.0001,5.00E-05,-448.7761195,-0.322675178,0.015621976,-0.946380834
5.00E-05,0.0001,0.0001,-435.0667367,-0.974883129,-0.004099667,0.222679316
5.00E-05,0.0001,0.00015,-413.140617,-0.977548057,-0.044304742,0.206002152
5.00E-05,0.0001,0.0002,-391.8693909,-0.986750493,-0.031260354,0.159205074
5.00E-05,0.0001,0.00025,-376.7554814,-0.991081705,-0.056222242,0.120814374
5.00E-05,0.0001,0.0003,-363.3960511,-0.976724664,0.137232415,0.164852042
5.00E-05,0.0001,0.00035,-321.4547888,-0.615063527,0.76448915,0.193010872
5.00E-05,0.0001,0.0004,-307.9377905,-0.475784001,0.874782785,0.091567813
5.00E-05,0.0001,0.00045,-301.175666,-0.278429079,0.936857072,0.211603578
5.00E-05,0.0001,0.0005,-281.7137545,-0.130020518,0.830171405,0.542134765
5.00E-05,0.0001,0.00055,-256.0229965,0.230317785,0.827246703,0.512461325
5.00E-05,0.0001,0.0006,-238.5943427,0.576233873,0.361076824,0.733197143
5.00E-05,0.0001,0.00065,-202.6719115,0.771854302,0.125461342,0.623297993
5.00E-05,0.0001,0.0007,-180.365871,0.93638597,-0.114616738,0.331729286
5.00E-05,0.0001,0.00075,-162.4969671,0.761292873,0.298190168,0.575774075
5.00E-05,0.0001,0.0008,-102.9459093,0.627355173,0.232070946,0.743349556
5.00E-05,0.0001,0.00085,-43.77066299,0.848094288,-0.047997295,0.527666883
5.00E-05,0.0001,0.0009,0.850918207,0.888575208,-0.080983516,0.451526045
5.00E-05,0.0001,0.00095,47.65330118,0.416129534,0.052341942,-0.907797627
