x,y,z,stresstr_hat
4.30000000000005e-06,5.10000000000007e-06,1.2000000000000292e-06,1840.8219718765258
4.30000000000005e-06,5.10000000000007e-06,2.6373684210526337e-05,1778.7741708007923
4.30000000000005e-06,5.10000000000007e-06,5.1547368421052644e-05,1737.536126385695
4.30000000000005e-06,5.10000000000007e-06,7.672105263157894e-05,1719.4778900212932
4.30000000000005e-06,5.10000000000007e-06,0.00010189473684210526,1714.8344504039924
4.30000000000005e-06,5.10000000000007e-06,0.00012706842105263157,1707.3876284213438
4.30000000000005e-06,5.10000000000007e-06,0.00015224210526315786,1683.5041596522804
4.30000000000005e-06,5.10000000000007e-06,0.00017741578947368417,1635.4522182007777
4.30000000000005e-06,5.10000000000007e-06,0.0002025894736842105,1560.9248207448143
4.30000000000005e-06,5.10000000000007e-06,0.0002277631578947368,1461.6463249676108
4.30000000000005e-06,5.10000000000007e-06,0.0002529368421052631,1341.9786175157785
4.30000000000005e-06,5.10000000000007e-06,0.00027811052631578943,1207.8759274582787
4.30000000000005e-06,5.10000000000007e-06,0.0003032842105263157,1066.7111351501942
4.30000000000005e-06,5.10000000000007e-06,0.000328457894736842,929.207024430986
4.30000000000005e-06,5.10000000000007e-06,0.0003536315789473683,815.6864295157419
4.30000000000005e-06,5.10000000000007e-06,0.00037880526315789463,756.9838495051971
4.30000000000005e-06,5.10000000000007e-06,0.00040397894736842095,756.4964274964402
4.30000000000005e-06,5.10000000000007e-06,0.00042915263157894726,785.883004645375
4.30000000000005e-06,5.10000000000007e-06,0.0004543263157894736,824.7224929256328
4.30000000000005e-06,5.10000000000007e-06,0.0004794999999999999,863.0155811396235
4.30000000000005e-06,3.0700000000000055e-05,1.2000000000000292e-06,1792.3500709658106
4.30000000000005e-06,3.0700000000000055e-05,2.6373684210526337e-05,1710.5144358559955
4.30000000000005e-06,3.0700000000000055e-05,5.1547368421052644e-05,1654.6282362260229
4.30000000000005e-06,3.0700000000000055e-05,7.672105263157894e-05,1632.2187753866867
4.30000000000005e-06,3.0700000000000055e-05,0.00010189473684210526,1630.003717983424
4.30000000000005e-06,3.0700000000000055e-05,0.00012706842105263157,1625.6622684966073
4.30000000000005e-06,3.0700000000000055e-05,0.00015224210526315786,1603.1192349095056
4.30000000000005e-06,3.0700000000000055e-05,0.00017741578947368417,1554.6914048410085
4.30000000000005e-06,3.0700000000000055e-05,0.0002025894736842105,1478.9106551369496
4.30000000000005e-06,3.0700000000000055e-05,0.0002277631578947368,1378.5545970479207
4.30000000000005e-06,3.0700000000000055e-05,0.0002529368421052631,1259.1339368406202
4.30000000000005e-06,3.0700000000000055e-05,0.00027811052631578943,1127.8007057404882
4.30000000000005e-06,3.0700000000000055e-05,0.0003032842105263157,993.111104029263
4.30000000000005e-06,3.0700000000000055e-05,0.000328457894736842,866.6932633719572
4.30000000000005e-06,3.0700000000000055e-05,0.0003536315789473683,767.5967935862695
4.30000000000005e-06,3.0700000000000055e-05,0.00037880526315789463,719.9430930384425
