X,Y,Z,Trace,GradX,GradY,GradZ
4.30E-06,5.10E-06,1.20E-06,1840.821972,0.23557641,0.78516805,0.57272584
4.30E-06,5.10E-06,2.64E-05,1778.774171,0.119180838,0.992015406,-0.041247568
4.30E-06,5.10E-06,5.15E-05,1737.536126,0.129884921,0.990997013,-0.032478105
4.30E-06,5.10E-06,7.67E-05,1719.47789,0.113606303,0.993446172,-0.012582147
4.30E-06,5.10E-06,0.000101895,1714.83445,0.101563249,0.994809084,-0.006308165
4.30E-06,5.10E-06,0.000127068,1707.387628,0.094477167,0.995404205,-0.015637545
4.30E-06,5.10E-06,0.000152242,1683.50416,0.085503145,0.995722072,-0.035025242
4.30E-06,5.10E-06,0.000177416,1635.452218,0.069861516,0.995793361,-0.059287022
4.30E-06,5.10E-06,0.000202589,1560.924821,0.042681141,0.995483229,-0.084802479
4.30E-06,5.10E-06,0.000227763,1461.646325,-0.00259148,0.994051111,-0.108883762
4.30E-06,5.10E-06,0.000252937,1341.978618,-0.074578598,0.98880989,-0.129201525
4.30E-06,5.10E-06,0.000278111,1207.875927,-0.182716928,0.972728652,-0.142875799
4.30E-06,5.10E-06,0.000303284,1066.711135,-0.330970696,0.932501663,-0.144565024
4.30E-06,5.10E-06,0.000328458,929.2070244,-0.5044623,0.854377657,-0.124726131
4.30E-06,5.10E-06,0.000353632,815.6864295,-0.662042754,0.745467667,-0.077313312
4.30E-06,5.10E-06,0.000378805,756.9838495,-0.762147383,0.646979827,-0.023419445
4.30E-06,5.10E-06,0.000403979,756.4964275,-0.81334817,0.581689307,0.010114572
4.30E-06,5.10E-06,0.000429153,785.8830046,-0.809886039,0.586042203,0.025281229
4.30E-06,5.10E-06,0.000454326,824.7224929,-0.785791668,0.617840808,0.028358261
4.30E-06,5.10E-06,0.0004795,863.0155811,-0.770424805,0.517847404,0.371859767
4.30E-06,3.07E-05,1.20E-06,1792.350071,0.391218382,-0.064017899,0.918068563
4.30E-06,3.07E-05,2.64E-05,1710.514436,0.828983615,-0.319601767,-0.458956291
4.30E-06,3.07E-05,5.15E-05,1654.628236,0.734795841,-0.575467394,-0.35904366
4.30E-06,3.07E-05,7.67E-05,1632.218775,0.672477679,-0.728730748,-0.129326209
4.30E-06,3.07E-05,0.000101895,1630.003718,0.688354418,-0.724598327,-0.033547869
4.30E-06,3.07E-05,0.000127068,1625.662268,0.718204334,-0.683968899,-0.127941707
4.30E-06,3.07E-05,0.000152242,1603.119235,0.707294509,-0.637506404,-0.305483325
4.30E-06,3.07E-05,0.000177416,1554.691405,0.647799002,-0.593098061,-0.478112062
4.30E-06,3.07E-05,0.000202589,1478.910655,0.547577837,-0.562564406,-0.619418922
4.30E-06,3.07E-05,0.000227763,1378.554597,0.388861582,-0.550478623,-0.73875568
4.30E-06,3.07E-05,0.000252937,1259.133937,0.106066234,-0.542254286,-0.833492797
4.30E-06,3.07E-05,0.000278111,1127.800706,-0.3566689,-0.47143095,-0.806560695
4.30E-06,3.07E-05,0.000303284,993.111104,-0.771201243,-0.297947099,-0.562562147
4.30E-06,3.07E-05,0.000328458,866.6932634,-0.942569706,-0.146746005,-0.300046596
4.30E-06,3.07E-05,0.000353632,767.5967936,-0.990028436,-0.065197466,-0.12487188
4.30E-06,3.07E-05,0.000378805,719.943093,-0.999183388,-0.032021453,-0.024641083
4.30E-06,3.07E-05,0.000403979,726.4948668,-0.999598445,-0.019119847,0.020913615
4.30E-06,3.07E-05,0.000429153,765.365525,-0.999088153,-0.011071886,0.041234412
4.30E-06,3.07E-05,0.000454326,815.1741391,-0.999028956,0.00137467,0.044036984
4.30E-06,3.07E-05,0.0004795,858.7556072,-0.905845858,0.007978318,0.423532323
4.30E-06,5.63E-05,1.20E-06,1780.422085,0.416667879,0.028992173,0.908596353
4.30E-06,5.63E-05,2.64E-05,1681.245158,0.783741987,-0.000757626,-0.621086084
4.30E-06,5.63E-05,5.15E-05,1609.920359,0.652190713,-0.195068133,-0.732526926
4.30E-06,5.63E-05,7.67E-05,1578.373191,0.620391511,-0.631965406,-0.464471849
4.30E-06,5.63E-05,0.000101895,1570.822643,0.627296527,-0.760410229,-0.168152759
4.30E-06,5.63E-05,0.000127068,1561.230807,0.64199902,-0.71759166,-0.269999016
4.30E-06,5.63E-05,0.000152242,1532.888434,0.642721166,-0.635323818,-0.428104134
4.30E-06,5.63E-05,0.000177416,1478.762108,0.640848136,-0.555498291,-0.529844614
4.30E-06,5.63E-05,0.000202589,1398.245972,0.642549348,-0.496113228,-0.583953765
4.30E-06,5.63E-05,0.000227763,1295.107884,0.639378707,-0.459309622,-0.616627554
4.30E-06,5.63E-05,0.000252937,1176.080289,0.609932475,-0.446603507,-0.654620259
4.30E-06,5.63E-05,0.000278111,1049.753623,0.493303313,-0.467197891,-0.733742443
4.30E-06,5.63E-05,0.000303284,926.0801268,0.044346466,-0.511754733,-0.857986296
4.30E-06,5.63E-05,0.000328458,817.0452496,-0.784850358,-0.305886239,-0.538928125
4.30E-06,5.63E-05,0.000353632,737.7684167,-0.98207278,-0.099976832,-0.159805155
4.30E-06,5.63E-05,0.000378805,702.6667456,-0.999074181,-0.038690156,-0.018810963
4.30E-06,5.63E-05,0.000403979,714.2666419,-0.999291807,-0.020205503,0.031743058
4.30E-06,5.63E-05,0.000429153,761.6684164,-0.998342206,-0.0104194,0.056606321
4.30E-06,5.63E-05,0.000454326,827.6871533,-0.998210094,0.008501562,0.059197397
4.30E-06,5.63E-05,0.0004795,881.7349307,-0.903609878,0.028812301,0.427386289
4.30E-06,8.19E-05,1.20E-06,1818.293477,0.457930867,0.138473435,0.878136908
4.30E-06,8.19E-05,2.64E-05,1710.302929,0.733493792,0.343933918,-0.586256187
4.30E-06,8.19E-05,5.15E-05,1626.770042,0.511053032,0.481975141,-0.71170553
4.30E-06,8.19E-05,7.67E-05,1578.121115,0.225977604,0.534765379,-0.814223625
4.30E-06,8.19E-05,0.000101895,1551.170664,0.02416286,0.007704913,-0.999678344
4.30E-06,8.19E-05,0.000127068,1523.134994,0.137506658,-0.542163014,-0.828945828
4.30E-06,8.19E-05,0.000152242,1478.659737,0.333084127,-0.58727016,-0.737677927
4.30E-06,8.19E-05,0.000177416,1411.139344,0.506441389,-0.530661169,-0.679643909
4.30E-06,8.19E-05,0.000202589,1320.24006,0.642869961,-0.460075776,-0.612412029
4.30E-06,8.19E-05,0.000227763,1210.266741,0.742988163,-0.396547715,-0.539183178
4.30E-06,8.19E-05,0.000252937,1088.910452,0.811996214,-0.345803142,-0.470193933
4.30E-06,8.19E-05,0.000278111,965.9216328,0.85389628,-0.312209851,-0.416396629
4.30E-06,8.19E-05,0.000303284,851.9592093,0.86582966,-0.309022527,-0.393502322
4.30E-06,8.19E-05,0.000328458,758.0007569,0.792576162,-0.404262402,-0.456502943
4.30E-06,8.19E-05,0.000353632,694.8278311,-0.616904688,-0.623110327,-0.480793227
4.30E-06,8.19E-05,0.000378805,670.7863274,-0.990487627,-0.13727656,-0.009455545
4.30E-06,8.19E-05,0.000403979,688.3023401,-0.996622577,-0.062411281,0.053369186
4.30E-06,8.19E-05,0.000429153,744.1349096,-0.996829465,-0.037707792,0.070065262
